id,collection,access,title,institution,group,category,docClass,docType,yearLabel,kind,hosted,priority,focusAreas,impactAreas,lenses,crossCutting,verification,openUrl,fileUrl,sourceUrl,path,captured,logStatus,summary,ocUse
OC2025,oc,Public (provincial filing),OC Climate Change Accountability Report 2025,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2025,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2025.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2025.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/okanagan_college_2025_ccar.pdf,01_OC_CCAR/Okanagan_College_CCAR_2025.pdf,,,"OC's statutory filing to the Province for the 2025 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2024,oc,Public (provincial filing),OC Climate Change Accountability Report 2024,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2024,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2024.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2024.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2024/ps/okanagan_college_2024_ccar.pdf,01_OC_CCAR/Okanagan_College_CCAR_2024.pdf,,,"OC's statutory filing to the Province for the 2024 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. The provincial PDF has a damaged text layer. Read figures from it by eye rather than by extraction.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2023,oc,Public (provincial filing),OC Climate Change Accountability Report 2023,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2023,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2023.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2023.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2023/ps/okanagan_college_2023_ccar.pdf,01_OC_CCAR/Okanagan_College_CCAR_2023.pdf,,,"OC's statutory filing to the Province for the 2023 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2022,oc,Public (provincial filing),OC Climate Change Accountability Report 2022,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2022,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2022.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2022.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2022/uc/okanagan_college_cnar_report_2023_signed.pdf,01_OC_CCAR/Okanagan_College_CCAR_2022.pdf,,,"OC's statutory filing to the Province for the 2022 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Provincial filename says 2023 and sits in a 'uc' sector folder. The document is the 2022 reporting year. OC labels its own reports by submission year, the Province by reporting year.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2021,oc,Public (provincial filing),OC Climate Change Accountability Report 2021,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2021,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2021.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2021.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2021/okanagan_college_2021_ccar.pdf,01_OC_CCAR/Okanagan_College_CCAR_2021.pdf,,,"OC's statutory filing to the Province for the 2021 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2020,oc,Public (provincial filing),OC Climate Change Accountability Report 2020,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CCAR,2020,file,True,True,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2020.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2020.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2020/okanagan_college.pdf,01_OC_CCAR/Okanagan_College_CCAR_2020.pdf,,,"OC's statutory filing to the Province for the 2020 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. First year filed as a Climate Change Accountability Report rather than a Carbon Neutral Action Report.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2019,oc,Public (provincial filing),OC Carbon Neutral Action Report 2019,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2019,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2019.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2019.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2019/ps/final_okanagan_college_2019_overview.pdf,01_OC_CCAR/Okanagan_College_CCAR_2019.pdf,,,"OC's statutory filing to the Province for the 2019 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Provincial filename uniquely carries an _overview suffix.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2018,oc,Public (provincial filing),OC Carbon Neutral Action Report 2018,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2018,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2018.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2018.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2018/ps/final_okanagancollege_2018.pdf,01_OC_CCAR/Okanagan_College_CCAR_2018.pdf,,,"OC's statutory filing to the Province for the 2018 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2017,oc,Public (provincial filing),OC Carbon Neutral Action Report 2017,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2017,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2017.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2017.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2017/ps/final_okanagancollege_2017.pdf,01_OC_CCAR/Okanagan_College_CCAR_2017.pdf,,,"OC's statutory filing to the Province for the 2017 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2016,oc,Public (provincial filing),OC Carbon Neutral Action Report 2016,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2016,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2016.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2016.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2016/ps/final_okanagancollege_2016.pdf,01_OC_CCAR/Okanagan_College_CCAR_2016.pdf,,,"OC's statutory filing to the Province for the 2016 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2015,oc,Public (provincial filing),OC Carbon Neutral Action Report 2015,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2015,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2015.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2015.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2015/ps/final_okanagancollege_2015.pdf,01_OC_CCAR/Okanagan_College_CCAR_2015.pdf,,,"OC's statutory filing to the Province for the 2015 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2014,oc,Public (provincial filing),OC Carbon Neutral Action Report 2014,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2014,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2014.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2014.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2014/ps/okanagancollege_2014.pdf,01_OC_CCAR/Okanagan_College_CCAR_2014.pdf,,,"OC's statutory filing to the Province for the 2014 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2013,oc,Public (provincial filing),OC Carbon Neutral Action Report 2013,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2013,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2013.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2013.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2013/ps/okanagancollege_2013.pdf,01_OC_CCAR/Okanagan_College_CCAR_2013.pdf,,,"OC's statutory filing to the Province for the 2013 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Format shifts to the provincial survey form around this year.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
OC2012,oc,Public (provincial filing),OC Carbon Neutral Action Report 2012,Okanagan College,OC statutory reporting,Climate and GHG Reporting,Statutory and climate reporting,CNAR,2012,file,True,False,Operations; Engagement,Carbon Zero; Performance Measurement,,False,Source fetched and confirmed,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2012.pdf,https://sustainoc.github.io/Docs3/01_OC_CCAR/Okanagan_College_CCAR_2012.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2012/ps/okanagancollege_2012.pdf,01_OC_CCAR/Okanagan_College_CCAR_2012.pdf,,,"OC's statutory filing to the Province for the 2012 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.
