id,collection,folder,filename,title,institution,group_label,year,doc_type,category,impact_areas,priority,access,summary,oc_use,url,url_status,source_notes
OC2008,oc,01_OC_CCAR,Okanagan_College_CCAR_2008.pdf,OC Carbon Neutral Action Report 2008,Okanagan College,OC statutory reporting,2008,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2008 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. First submission year. Provincial filename carries no year suffix. Report dated 30 June 2009 at submission but covers 2008 actions.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2008/ps/okanagan_college.pdf,VERIFIED,no year suffix in provincial filename; submitted 30 Jun 2009
OC2009,oc,01_OC_CCAR,Okanagan_College_CCAR_2009.pdf,OC Carbon Neutral Action Report 2009,Okanagan College,OC statutory reporting,2009,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2009 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2009/ps/okanagancollege_2009.pdf,VERIFIED,
OC2010,oc,01_OC_CCAR,Okanagan_College_CCAR_2010.pdf,OC Carbon Neutral Action Report 2010,Okanagan College,OC statutory reporting,2010,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2010 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2010/ps/okanagancollege_2010.pdf,VERIFIED,
OC2011,oc,01_OC_CCAR,Okanagan_College_CCAR_2011.pdf,OC Carbon Neutral Action Report 2011,Okanagan College,OC statutory reporting,2011,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2011 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2011/ps/okanagancollege_2011.pdf,VERIFIED,
OC2012,oc,01_OC_CCAR,Okanagan_College_CCAR_2012.pdf,OC Carbon Neutral Action Report 2012,Okanagan College,OC statutory reporting,2012,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2012 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2012/ps/okanagancollege_2012.pdf,VERIFIED,
OC2013,oc,01_OC_CCAR,Okanagan_College_CCAR_2013.pdf,OC Carbon Neutral Action Report 2013,Okanagan College,OC statutory reporting,2013,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2013 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template. Format shifts to the provincial survey form around this year.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2013/ps/okanagancollege_2013.pdf,VERIFIED,survey-form format begins
OC2014,oc,01_OC_CCAR,Okanagan_College_CCAR_2014.pdf,OC Carbon Neutral Action Report 2014,Okanagan College,OC statutory reporting,2014,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2014 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2014/ps/okanagancollege_2014.pdf,VERIFIED,
OC2015,oc,01_OC_CCAR,Okanagan_College_CCAR_2015.pdf,OC Carbon Neutral Action Report 2015,Okanagan College,OC statutory reporting,2015,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2015 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2015/ps/final_okanagancollege_2015.pdf,VERIFIED,province adds final_ prefix 2015-2019
OC2016,oc,01_OC_CCAR,Okanagan_College_CCAR_2016.pdf,OC Carbon Neutral Action Report 2016,Okanagan College,OC statutory reporting,2016,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2016 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2016/ps/final_okanagancollege_2016.pdf,VERIFIED,
OC2017,oc,01_OC_CCAR,Okanagan_College_CCAR_2017.pdf,OC Carbon Neutral Action Report 2017,Okanagan College,OC statutory reporting,2017,CNAR,Climate and GHG Reporting,Carbon Zero; Performance Measurement,,Public (provincial filing),"OC's statutory filing to the Province for the 2017 reporting year. Carries reported Scope 1, Scope 2 and reportable Scope 3 emissions, offset purchases, and the building, fleet and paper breakdowns on the standard provincial template.",One year of the eighteen-year consecutive series that is OC's primary baseline dataset. Read the whole series together rather than any single year.,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2017/ps/final_okanagancollege_2017.pdf,VERIFIED,
