"phase","institution","filename","status","bytes","url","retrieved","error"
"1","UBC Vancouver","2021_UBCV_Climate-Action-Plan-2030-CAP2030.pdf","SKIPPED","10954751","https://planning.ubc.ca/sites/default/files/2021-12/UBCV_CAP2030_FINAL.pdf","2026-08-14T15:19:57",""
"1","UBC Vancouver","2024_UBCV_Neighbourhood-Climate-Action-Plan-NCAP-+-appendices.pdf","SKIPPED","21613659","https://planning.ubc.ca/sites/default/files/2024-06/Neighbourhood%20Climate%20Action%20Plan_FINALforweb.pdf","2026-08-14T15:20:32",""
"1","UBC Vancouver","2024_UBCV_NCAP-Action-Matrix.pdf","SKIPPED","350624","https://planning.ubc.ca/sites/default/files/2024-05/NCAP%20Action%20Matrix_May%202024_1.pdf","2026-08-14T15:20:32",""
"1","UBC Vancouver","2026_UBCV_NCAP-2025-Progress-Update-Appendix.pdf","SKIPPED","7407053","https://planning.ubc.ca/sites/default/files/2026-06/NCAP%20Progress%20Update_June%202026_AppendixFull_0.pdf","2026-08-14T15:20:41",""
"1","UBC Vancouver","2024_UBCV_Climate-Risk-Vulnerability-Assessment-Summary-Report.pdf","SKIPPED","10116813","https://planning.ubc.ca/sites/default/files/2024-05/BARC_UBC_VRA_Summary-Report_April17_final.pdf","2026-08-14T15:21:04",""
"1","UBC Vancouver","2023_UBCV_UBC-Climate-Science-Report.pdf","SKIPPED","1479114","https://planning.ubc.ca/sites/default/files/2024-05/UBC%20Climate%20Science%20Report_FINAL_Nov%202023.pdf","2026-08-14T15:21:06",""
"1","UBC Vancouver","2023_UBCV_Neighbourhood-Transportation-GHG-Emissions-Study.pdf","SKIPPED","987863","https://planning.ubc.ca/sites/default/files/2024-05/UBC_Neighbourhood_Transportation_Emissions_07-25-2023.pdf","2026-08-14T15:21:10",""
"1","UBC Vancouver","2024_UBCV_Climate-Justice-in-Transportation-Planning-Final-Report.pdf","SKIPPED","2828884","https://planning.ubc.ca/sites/default/files/2024-05/UC3%20Final%20Report_Final%20Draft.pdf","2026-08-14T15:21:13",""
"1","UBC Vancouver","2024_UBCV_Sub-Report-Transportation-Planning-Practices-at-UBC.pdf","SKIPPED","7180836","https://planning.ubc.ca/sites/default/files/2024-05/UC3%20Sub-Report%20on%20Transportation%20Planning%20at%20UBC_Final%20Draft.pdf","2026-08-14T15:21:21",""
"1","UBC Vancouver","2025_UBCV_Transportation-Status-Report-2024.pdf","SKIPPED","1124625","https://planning.ubc.ca/sites/default/files/2025-07/UBC2024-TransportationStatusReport.pdf","2026-08-14T15:21:23",""
"1","UBC Vancouver","2018_UBCV_Green-Building-Action-Plan-Full.pdf","SKIPPED","12823190","https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_Plan_Full.pdf","2026-08-14T15:21:44",""
"1","UBC Vancouver","2018_UBCV_Green-Building-Action-Plan-Institutional-component.pdf","SKIPPED","18076695","https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_InstitutionalGBAP.pdf","2026-08-14T15:22:10",""
"1","UBC Vancouver","2018_UBCV_Green-Building-Action-Plan-Action-Appendices.pdf","SKIPPED","7878335","https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_ActionAppendices.pdf","2026-08-14T15:22:21",""
"1","UBC Vancouver","2019_UBCV_Water-Action-Plan.pdf","SKIPPED","1938396","https://planning.ubc.ca/sites/default/files/2019-11/PLANS_UBC_WaterActionPlan.pdf","2026-08-14T15:22:24",""
"1","UBC Vancouver","2017_UBCV_Integrated-Stormwater-Management-Plan.pdf","FAILED","0","https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_ISMP_Final2017.pdf","2026-08-18T14:14:41","The remote server returned an error: (404) Not Found."
"1","UBC Vancouver","2023_UBCV_Zero-Waste-Action-Plan-2030.pdf","SKIPPED","6048321","https://planning.ubc.ca/sites/default/files/2023-08/230608_ZWAP.pdf","2026-08-14T15:22:35",""
"1","UBC Vancouver","2025_UBCV_UBC-GHG-Inventory-2025.pdf","SKIPPED","481717","https://sustain.ubc.ca/sites/default/files/files/UBCV_GHG_Inventory_2025.pdf","2026-08-14T15:22:36",""
"1","UBC Vancouver","2025_UBCV_Climate-Change-Accountability-Report-CCAR-2025.pdf","SKIPPED","7071647","https://sustain.ubc.ca/sites/default/files/files/2025%20CCAR.pdf","2026-08-14T15:22:43",""
"1","UBC Vancouver","2024_UBCV_2024-PSO-CCAR-gov.bc.ca-mirror.pdf","SKIPPED","6603372","https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2024/ps/ubc_2024_ccar.pdf","2026-08-14T15:22:51",""
"1","UBC Vancouver","2023_UBCV_TCFD-Climate-Related-Financial-Disclosure-Report-FY2023.pdf","SKIPPED","12268791","https://sustain.ubc.ca/sites/default/files/files/MASTER_TDFC_UBC_2023_FINAL.pdf","2026-08-14T15:23:05",""
"1","UBC Vancouver","2023_UBCV_TogetherEnsemble-at-UBC-Indigenous-lens-report.pdf","SKIPPED","574972","https://sustain.ubc.ca/sites/default/files/TE-Report-Web.pdf","2026-08-14T15:23:06",""
"1","UBC Vancouver","2022_UBCV_Sustainability-Hub-Strategic-Plan-2022-2027.pdf","SKIPPED","2909015","https://sustain.ubc.ca/sites/default/files/Sustainability-Hub-Strategic-Plan-Web.pdf","2026-08-14T15:23:10",""
"1","UBC Vancouver","nd_UBCV_Transforming-Sustainability-Education-at-UBC.pdf","SKIPPED","1015455","https://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/images/teaching_learning/transforming-sustainability-education-at-ubc-desired-student-attributes-and-pathways-for-implementat.pdf","2026-08-14T15:23:11",""
"1","UBC Vancouver","2021_UBCV_Wellbeing-Strategic-Framework-Roadmap-Dashboard.pdf","FAILED","0","https://wellbeing.ubc.ca/sites/wellbeing.ubc.ca/files/u1582/WSF%20Roadmap%20Dashboard_18Oct2021.pdf","2026-08-18T14:14:45","The remote server returned an error: (404) Not Found."
"1","UBC Vancouver","nd_UBCV_Campus-Urban-Biodiversity-Strategic-CUBS-Plan.pdf","SKIPPED","196163","https://sustain.ubc.ca/sites/default/files/SEEDS%20Uploads/Campus%20Urban%20Biodiversity%20Strategic%20(CUBS)%20Plan.pdf","2026-08-14T15:23:15",""
"1","UBC Vancouver","nd_UBCV_UBC-Biodiversity-Annual-Report.pdf","SKIPPED","3098645","https://sustain.ubc.ca/sites/sustain.ubc.ca/files/SEEDS%20Uploads/UBC_BiodiversityAnnualReport_FINAL.pdf","2026-08-14T15:23:18",""
"1","UBC Vancouver","2024_UBCV_AMS-Waste-Audit-Report.pdf","SKIPPED","7078514","https://www.ams.ubc.ca/wp-content/uploads/2024/04/Waste-Audit-Final-Report-2024-1.pdf","2026-08-14T15:23:26",""
"1","UBC Vancouver","nd_UBCV_UBC-Food-System-Asset-Map.pdf","SKIPPED","5554850","https://sustain.ubc.ca/sites/default/files/seedslibrary/LFS%20450_Project_07_Food%20Asset%20Map_2ndSubmission_FinalReport.pdf","2026-08-14T15:23:33",""
"1","UBC Okanagan","2021_UBCO_UBCO-Climate-Action-Plan-2030-Final.pdf","SKIPPED","3105277","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/2021-UBCO-CAP-2030-Final-web-1.pdf","2026-08-14T15:23:37",""
"1","UBC Okanagan","2021_UBCO_UBCO-CAP-2030-Public-Engagement-Summary-Report.pdf","SKIPPED","1152556","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/UBCO-CAP-2030-Summary-Report.pdf","2026-08-14T15:23:38",""
"1","UBC Okanagan","2023_UBCO_UBCO-Climate-Adaptation-Resilience-Biodiversity-CARB-Strategy.pdf","SKIPPED","3788287","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/05/UBCO-CARB-Strategy-compressed.pdf","2026-08-14T15:23:42",""
"1","UBC Okanagan","2024_UBCO_Okanagan-Food-GHG-Baseline-Project.pdf","SKIPPED","563030","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Okanagan-Food-GHG-Baseline-Project.pdf","2026-08-14T15:23:43",""
"1","UBC Okanagan","2024_UBCO_Intercampus-Air-Travel-SEEDS-Study.pdf","SKIPPED","2511299","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Reducing-Greenhouse-Gas-Emissions.pdf","2026-08-14T15:23:46",""
"1","UBC Okanagan","2024_UBCO_Post-Pandemic-Climate-Engagement-Report.pdf","SKIPPED","630418","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/Community-Engagement-Strategies-for-Climate-Change.pdf","2026-08-14T15:23:47",""
"1","UBC Okanagan","2023_UBCO_UBCO-CAP-2030-Implementation-Progress-Report.pdf","SKIPPED","265209","https://sustain.ok.ubc.ca/wp-content/uploads/sites/207/2025/01/UBCO-CAP-2030-Implementation-Progress-Report.pdf","2026-08-14T15:23:47",""
"1","UBC Okanagan","2022_UBCO_UBCO-CAP-Implementation-Progress-Report-Oct-2022.pdf","FAILED","0","https://sustain.ok.ubc.ca/wp-content/uploads/sites/70/2022/12/UBCO-CAP-Implementation-Progress-Report-2022-Oct-Final.pdf","2026-08-18T14:14:48","The remote server returned an error: (404) Not Found."
