id,phase,institution,folder,filename,url,year,doc_type,category,verification,priority,impact_areas,summary,oc_use
1,1,UBC Vancouver,01_UBC-Vancouver/01_Plans-and-Strategies,2021_UBCV_Climate-Action-Plan-2030-CAP2030.pdf,https://planning.ubc.ca/sites/default/files/2021-12/UBCV_CAP2030_FINAL.pdf,2021,Plan,Plans-and-Strategies,Seen in search,,Carbon Zero; Infrastructure; Engagement,"Accelerated net-zero pathway for buildings, energy, Scope 3 and engagement across 6 focus areas. Already held in OC's project files.",Target-tier structure splitting operational / Scope 3 / embodied carbon with distinct % goals per horizon year.
2,1,UBC Vancouver,01_UBC-Vancouver/01_Plans-and-Strategies,2024_UBCV_Neighbourhood-Climate-Action-Plan-NCAP-+-appendices.pdf,https://planning.ubc.ca/sites/default/files/2024-06/Neighbourhood%20Climate%20Action%20Plan_FINALforweb.pdf,2024,Plan,Plans-and-Strategies,Fetched,,Climate Resilience; Infrastructure,Extends net-zero and resilience planning to UBC's residential neighbourhoods. Adaptation companion to CAP2030.,How to separate 'core campus' from leased/partner-land emissions boundaries.
3,1,UBC Vancouver,01_UBC-Vancouver/01_Plans-and-Strategies,2024_UBCV_NCAP-Action-Matrix.pdf,https://planning.ubc.ca/sites/default/files/2024-05/NCAP%20Action%20Matrix_May%202024_1.pdf,2024,Tool,Plans-and-Strategies,Fetched,,Planning/Policy; Organizational Structure,"Tabular list of discrete actions, owners and timelines supporting NCAP.",Action-matrix column template (action / owner / department / timeline) for OC's 27-row action register.
4,1,UBC Vancouver,01_UBC-Vancouver/01_Plans-and-Strategies,2026_UBCV_NCAP-2025-Progress-Update-Appendix.pdf,https://planning.ubc.ca/sites/default/files/2026-06/NCAP%20Progress%20Update_June%202026_AppendixFull_0.pdf,2026,Report,Plans-and-Strategies,Fetched,,Performance Measurement,Latest implementation status update on neighbourhood climate actions.,Progress-reporting cadence and format for a multi-year roadmap.
5,1,UBC Vancouver,01_UBC-Vancouver/11_Climate-Risk-and-Resilience,2024_UBCV_Climate-Risk-Vulnerability-Assessment-Summary-Report.pdf,https://planning.ubc.ca/sites/default/files/2024-05/BARC_UBC_VRA_Summary-Report_April17_final.pdf,2024,Assessment,Climate-Risk-and-Resilience,Fetched,PRIORITY,Climate Resilience,Physical climate risk and vulnerability assessment underpinning NCAP adaptation actions (BARC methodology).,Campus climate-hazard/vulnerability matrix methodology. Directly serves OC's blocked target T4.
6,1,UBC Vancouver,01_UBC-Vancouver/11_Climate-Risk-and-Resilience,2023_UBCV_UBC-Climate-Science-Report.pdf,https://planning.ubc.ca/sites/default/files/2024-05/UBC%20Climate%20Science%20Report_FINAL_Nov%202023.pdf,2023,Report,Climate-Risk-and-Resilience,Fetched,,Climate Resilience,"Downscaled regional climate projections (temperature, precipitation, extreme events) grounding adaptation planning.",Method for translating regional climate projections into campus design parameters.
7,1,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2023_UBCV_Neighbourhood-Transportation-GHG-Emissions-Study.pdf,https://planning.ubc.ca/sites/default/files/2024-05/UBC_Neighbourhood_Transportation_Emissions_07-25-2023.pdf,2023,Study,Transportation,Fetched,,Transportation; Carbon Zero,Quantifies commuting and transportation GHG tied to growth.,Method for isolating transportation Scope 3 from an enrolment-growth driver. Relevant to OC's Sept 2026 tonnage.
8,1,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2024_UBCV_Climate-Justice-in-Transportation-Planning-Final-Report.pdf,https://planning.ubc.ca/sites/default/files/2024-05/UC3%20Final%20Report_Final%20Draft.pdf,2024,Report,Transportation,Fetched,,Transportation; Engagement,Equity lens applied to transportation decision-making.,Equity-screening framework for transportation investment. Pairs with OC's CPTED accessibility findings.
9,1,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2024_UBCV_Sub-Report-Transportation-Planning-Practices-at-UBC.pdf,https://planning.ubc.ca/sites/default/files/2024-05/UC3%20Sub-Report%20on%20Transportation%20Planning%20at%20UBC_Final%20Draft.pdf,2024,Report,Transportation,Fetched,,Transportation; Organizational Structure,Inventories UBC's existing transportation governance and programs.,Institutional transportation-governance inventory template.
10,1,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2025_UBCV_Transportation-Status-Report-2024.pdf,https://planning.ubc.ca/sites/default/files/2025-07/UBC2024-TransportationStatusReport.pdf,2025,Survey,Transportation,Fetched,PRIORITY,Transportation,"Annual mode-share monitoring. 2024: transit 52%, SOV 32%, carpool 13%, bike 1.4%, ped 0.7%.",Standardized annual metric set plus screenline/traffic-counter methodology.
11,1,UBC Vancouver,01_UBC-Vancouver/05_Energy-and-Buildings,2018_UBCV_Green-Building-Action-Plan-Full.pdf,https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_Plan_Full.pdf,2018,Plan,Energy-and-Buildings,Fetched,PRIORITY,Infrastructure (Energy/Water),"EUI targets by building type, embodied-carbon material phase-out by 2035, net-positive-ready new builds by 2030.","EUI target table in kWh/m2/yr by building type and year. Portable to OC's 45-building, 2.08M sq ft portfolio."
12,1,UBC Vancouver,01_UBC-Vancouver/05_Energy-and-Buildings,2018_UBCV_Green-Building-Action-Plan-Institutional-component.pdf,https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_InstitutionalGBAP.pdf,2018,Plan,Energy-and-Buildings,Seen in search,,Infrastructure,Institutional (academic/admin) building requirements subset.,Segmentation of building policy by institutional vs residential type.
13,1,UBC Vancouver,01_UBC-Vancouver/05_Energy-and-Buildings,2018_UBCV_Green-Building-Action-Plan-Action-Appendices.pdf,https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_Green_Building_Action_ActionAppendices.pdf,2018,Tool,Energy-and-Buildings,Seen in search,,Infrastructure,Detailed action list supporting GBAP implementation.,Implementation action-tracker template.
14,1,UBC Vancouver,01_UBC-Vancouver/05_Energy-and-Buildings,2019_UBCV_Water-Action-Plan.pdf,https://planning.ubc.ca/sites/default/files/2019-11/PLANS_UBC_WaterActionPlan.pdf,2019,Plan,Energy-and-Buildings,Fetched,PRIORITY,Infrastructure (Energy/Water),"Holds total water use at or below 2017 levels; 16%/24% intensity cuts per FTE by 2025/2030; ~$2.3M/yr spend, ~$4M cumulative savings by 2035.",Per-FTE water-use-intensity KPI (rather than per sq ft). Directly usable while OC's metering assessment completes.
15,1,UBC Vancouver,01_UBC-Vancouver/05_Energy-and-Buildings,2017_UBCV_Integrated-Stormwater-Management-Plan.pdf,https://planning.ubc.ca/sites/default/files/2019-11/PLAN_UBC_ISMP_Final2017.pdf,2017,Plan,Energy-and-Buildings,Seen in search,,Infrastructure; Climate Resilience,Rainwater and stormwater quality/volume control plan.,Stormwater-as-adaptation-infrastructure framing.
16,1,UBC Vancouver,01_UBC-Vancouver/06_Waste-and-Procurement,2023_UBCV_Zero-Waste-Action-Plan-2030.pdf,https://planning.ubc.ca/sites/default/files/2023-08/230608_ZWAP.pdf,2023,Plan,Waste-and-Procurement,Fetched,PRIORITY,Supply Chain,50% cut in operational waste disposal by 2030 vs 2019; 90% construction-waste diversion; 50% food waste and 80% single-use-cup cuts. Documents the failure of prior diversion targets.,Honest target-miss retrospective and the pivot from diversion-rate to absolute-reduction KPIs. A Financial & Risk Realities case OC can cite.
